oba	melko	Adv	Pcle
bálvalus	palvelu	N	N
sosiálabálvalus	sosiaalipalvelu	N	N
dearvvašvuođabálvalus	terveyspalvelu	N	N
dulkonbálvalus	tulkkipalvelu	N	N
láhkaárvalus	lakiehdotus	N	N
maŋemus	viimeinen	Adv	A
oainnus	näkyvä	A	A
oainnus	näköala	N	N
stáhtus	status	N	N
ovddastus	edustus	N	N
ođastus	uudistus	N	N
museaođastus	museouudistus	N	N
vuođustus	perusta	N	N
guolástus	kalastus	N	N
nuppástus	muutos	N	N
julggaštus	julistus	N	N
eamiálbmotjulggaštus	alkuperäiskansajulistus	N	N
álgoálbmotjulggaštus	alkuperäiskansajulistus	N	N
beroštus	huoli& kiinnostus	N	N
ráŋggáštus	rangaistus	N	N
dieđus	tietysti	Adv	Adv
vuođus	perusta	N	N
várás	takia	Po	Po
eanadat	maasto	N	N
ovttadat	yksikkö	N	N
doalloovttadat	toimintayksikkö	N	N
mánáidgárdefálaldat	lastentarhatarjonta	N	N
oahppofálaldat	opetustarjonta	N	N
bálvalusfálaldat	palvelutarjonta	N	N
viidodat	pinta-ala	N	N
riggodat	rikkaus	N	N
luondduriggodat	luonnonresurssi	N	N
válgaáigodat	vaalikausi	N	N
bargiidbellodat	työväenpuolue	N	N
opmodat	omistus	N	N
sturrodat	suuruus	N	N
oahpahusossodat	opetusosasto	N	N
servodat	yhteiskunta	N	N
rievdat	muuttaa& muuntaa	V	V
dálkkádat	ilmasto	N	N
fierpmádat	verkosto	N	N
avádat	vyöhyke	N	N
čázádat	vesistö	N	N
viggat	yrittää, pyrkiä	V	V
mealgat	melko	Adv	Pcle
ovttasbargat	tehdä yhteistyötä	V	V
čavgat	kireä	A	A
guoskat	koskea	V	V
máŋggabealat	monipuolinen	A	A
guovttegielat	kaksikielinen	A	A
bagadallat	ohjata	V	V
šiehtadallat	neuvotella	V	V
vihkkedallat	pohtia& miettiä	V	V
ráđđádallat	neuvotella	V	V
logahallat	rekisteröidä	V	V
ásahallat	säätää	V	V
sisdoallat	sisältää	V	V
sisttisdoallat	sisältää	V	V
ávkkástallat	hyödyntää& käyttää hyväksi	V	V
digaštallat	keskustella	V	V
digáštallat	keskustella	V	V
biebmat	ruokia	V	V
ilbmat	toimeentulo	V	N
guohtumat	laidunresurssit	N	N
dálveguohtumat	talvilaidun	N	N
soahpat	sopia	V	V
siskkáldasat	sisäisesti	Adv	Adv
juksat	taas	V	Pcle
eanemusat	eniten	Adv	Adv
spiehkastat	poikkeama	N	N
geavat	käyttää	N	V
arvat	paljon	Adv	Adv
arvat	uskaltaa	V	V
geavvat	nousta	V	V
sajáiduvvat	sopeutua	V	V
ođasmuvvat	uusia	V	V
lihkostuvvat	onnistua	V	V
nuppástuvvat	muuttua	V	V
obbalaččat	yleisesti	Adv	Adv
ovttajienalaččat	yksimielisesti	Adv	Adv
aktiivvalaččat	aktiivisesti	Adv	Adv
lunddolaččat	luonnollisesti	Adv	Adv
vejolaččat	mahdollisesti	Adv	Adv
dohkálaččat	kelvollinen	Adv	A
báikkálaččat	paikallisesti	Adv	Adv
gaskamearálaččat	keskimääräisesti	Adv	Adv
goappašat	molemmat	Pron	Pron
eaiggáduššat	omistaa	V	V
áimmahuššat	ylläpitää	V	V
ságaškuššat	keskustella	V	V
nákcet	pystyä	V	V
muddet	oikoa& korjata	V	V
bivdet	pyytää	V	V
bágget	pakottaa	V	V
njulget	oikoa	V	V
čavget	kiristää	V	V
čuvget	ilmoittaa	V	V
máŋget	monistaa	V	V
suddjet	suojella	V	V
ráddjet	rajoittaa	V	V
goiket	kuivata	V	V
čohkket	kerätä	V	V
vurket	säilytä	V	V
hábmet	hahmota	V	V
stipeandaortnet	stipendijärjestelmä	N	N
válgaortnet	vaalijärjestelmä	N	N
doarjjaortnet	tukijärjestelmä	N	N
hálddašanortnet	hallintojärjestelmä	N	N
čoahkkinortnet	päiväjärjestys	N	N
reguleret	säätää	V	V
defineret	määritellä	V	V
integreret	integroida	V	V
formaliseret	formalisoida	V	V
