lihkkolohku	lykketall	onnenluku
hálddašangeatnegasvuohta	hálddašangeatnegasvuohta	
hálddašanapparáhtta	administrasjonsapparat	
hálddahusvuogádat	hálddahusvuogádat	
hálddahusortnet	hálddahusortnet	
hálddahusoahppu	hálddahusoahppu	
hálddahusmearrádus	forvaltningsvedtak	
hálddahusbiras	hálddahusbiras	
hálbivuohta	hálbivuohta	
hálbbádus	rabatt	
háigir	háigir	
háhttaváttisvuohta	háhttaváttisvuohta	
hypotenus	hypotenus	
hupmanváttisvuohta	hupmanváttisvuohta	
hupmansyntesa	hupmansyntesa	
hupmanfriddjavuohta	hupmanfriddjavuohta	
humanetihkkár	humanetihkkár	
huksengieldu	huksengieldu	
huksehatplána	bebyggelsesplan	
huhttánbáiki	huhttánbáiki	
hubmáivuohta	hubmáivuohta	
hovdenvirgi	hovdenvirgi	
hovdejupmi	hovdejupmi	
hoteallasále	hoteallasále	
homofiilavuohta	homofiilavuohta	
holográmma	hologram	
holganjuiken	høydehopp	
hoavki	hoavki	
hoavdagoddi	hoavdagoddi	
hoammá	same_vestfra	
hoaiddár	hoaiddár	
historjávearistus	historieforfalskning	
hirra	tangloppe	
hirpmusvuohta	hirpmusvuohta	
hirbmaváldi	ovrike	
hillagáhkku	hellekake	
hilgunortnet	kondemneringsordning	
hilbatvuohta	hilbatvuohta	
hiida	helvete	
hieroglyfa	hieroglyff	
hevrriideapmi	hevrriideapmi	
herkkeš	herkkeš	
helium	helium	
helikopterlihkohisvuohta	helikopterlihkohisvuohta	
heivehanáigodat	tilpasningsperiode	
hehttenáhta	sperreanordning	
hehttejupmi	hehttejupmi	
hehkke	høygrind_til_slede	
hegemoniija	hegemoni	
hebreagiella	hebreagiella	
hebrea	hebrea	
heavušdaŋas	heavušdaŋas	
heavahus	heavahus	
heasttaseaibi	heasttaseaibi	
hearvageađgi	hearvageađgi	
hearvacuozza	hearvacuozza	
hearkkesvuohta	hearkkesvuohta	
heargevuodjensearvi	heargevuodjensearvi	
heajosvuohta	heajosvuohta	
headjaolmmoš	headjaolmmoš	
heabohisvuohta	heabohisvuohta	
hattiidoktavuohta	hattiidoktavuohta	
hanti	hanti	
hanseáhtta	hanseáhtta	
haiku	haiku	
haddemearrideapmi	prisfastsettelse	
gælikgiella	gælikgiella	
gávvilisvuohta	gávvilisvuohta	
gávpotmuvra	gávpotmuvra	
gávpečiegusvuohta	gávpečiegusvuohta	
gávpeváralašvuohta	gávpeváralašvuohta	
gávpevuogádat	merkantilistisk_system	
gávperegisttar	handelsregister	
gávperegister	gávperegister	
gávpeláigu	kremmerleie	
gávpekámmár	gávpekámmár	
gávpegáhtta	handlegate	
gávpeguolásteapmi	kommersielt_fiske	
gávpegeinnodat	gávpegeinnodat	
gávnnehisvuohta	gávnnehisvuohta	
gávdnji	gávdnji	
gássekabineahtta	gássekabineahtta	
gássaduolmman	gássaduolmman	
gássaapparáhtta	gássaapparáhtta	
gáskálas	brennesle	
gárvvoheaddji	gárvvoheaddji	
gártenbargu	gártenbargu	
gárrenoaivvesvuohta	gárrenoaivvesvuohta	
gárgedus	gárgedus	
gárcu	gárcu	
gántor	gántor	
gáneš	gáneš	
gándil	gándil	
gámaruovda	sommerkomagsåletupp	
gálvovalljivuohta	gálvovalljivuohta	
gállivuođđu	gállivuođđu	
gálku	gálku	
gáljavuodjinkursa	gáljavuodjinkursa	
gálgamuš	gálgamuš	
gáldoávnnas	kildemateriale	
gáldendearvvuohta	gáldendearvvuohta	
gálddatheasta	gálddatheasta	
gálbbenáhkki	gálbbenáhkki	
gákcilotlohku	gákcilotlohku	
gáisáráidu	fjellkjede	
gáipi	valbein	
gáidi	gáidi	
gáiccamielki	gáiccamielki	
gáibmevuohta	gáibmevuohta	
gáhtus	gáhtus	
gáhpagaš	gáhpagaš	
gáhkkofoarbma	kakeform	
gágga	kagge	
gáffekohppa	gáffekohppa	
gáffegoiku	gáffegoiku	
gáfejahas	gáfejahas	
gáfegohppa	gáfegohppa	
gádno	gádno	
gádjunávdnasat	redningsutstyr	
gáddevitku	gáddevitku	
gáddeoassi	landlott	
gáddeavádat	strandsone	
gyrodactilosis	gyrodactilosis	
gužžahoahppu	gužžahoahppu	
guđátoassi	guđátoassi	
guđádas	guđádas	
guštá	guštá	
gušká	gušká	
guđadas	guđadas	
guvttiidlohku	guvttiidlohku	
gutnehisvuohta	gutnehisvuohta	
gustovašvuohta	gustovašvuohta	
gusanáhkki	gusanáhkki	
gursafálaldat	gursafálaldat	
gursabáiki	gursabáiki	
gurgadasbuvttadus	serieproduksjon	
guretgáma	skalle_med_snøring	
guovžžanáhkki	guovžžanáhkki	
guovžžabiedju	guovžžabiedju	
guovttebeallásaš	guovttebeallásaš	
guovlojuohku	guovlojuohku	
guovlluviidosaš	guovlluviidosaš	
guovllustivraáirras	guovllustivraáirras	
guovllustivralahttu	guovllustivralahttu	
guovllurádji	guovllurádji	
guovlludoaimmahus	guovlludoaimmahus	
guovllokantuvra	guovllokantuvra	
guovddášliekkas	sentralvarme	
guovddušteapmi	guovddušteapmi	
guovddat	guovddat	
guovdageainolmmoš	guovdageainolmmoš	
guossoheamoš	guossoheamoš	
guossohanvuoigatvuohta	guossohanvuoigatvuohta	
guossivuohta	guossivuohta	
guossevuohta	guossevuohta	
guoskameahttunvuohta	guoskameahttunvuohta	
guoradeaddji	guoradeaddji	
guopparmális	rognbollesuppe	
guopmeráksá	guopmeráksá	
guolástusváttisvuohta	guolástusváttisvuohta	
guolástusminister	guolástusminister	
guolástansadji	fiskeplass	
guolástanlávdegoddi	guolástanlávdegoddi	
guolástanbiras	guolástanbiras	
guollevalljivuohta	guollevalljivuohta	
guollespierru	guollespierru	
guolleroahkki	fiskekrok	
guolleliepma	fiskesø	
guollejávregáddi	guollejávregáddi	
guolleipmil	guolleipmil	
guollegoaskin	guollegoaskin	
guollegoahti	fiskegamme	
guollebuktin	guollebuktin	
guollebivdobáiki	guollebivdobáiki	
guollebiepmahat	guollebiepmahat	
guolgamearka	hårmerke_på_rein	
guolečoalli	fiskeinnvoll	
guoita	guoita	
guoirá	guoirá	
guoimmáš	guoimmáš	
guohtuneanadutkan	guohtuneanadutkan	
guoddevašvuohta	guoddevašvuohta	
guoddalanásahus	ankeinstans	
gumperáfehisvuohta	gumperáfehisvuohta	
gummisáppat	gummisáppat	
gummigáma	gummigáma	
gummehus	gummehus	
gullonguovlu	gullonguovlu	
gulahallanolmmái	hjemmelsmann	
gulahallanalmmái	gulahallanalmmái	
guhttačuođis	guhttačuođis	
guhppil	guhppil	
guhkesčuovga	fjernlys	
guhkesáiggeplána	guhkesáiggeplána	
guhkesáiggebušeahtta	langtidsbudsjett	
guhkesmielalašvuohta	guhkesmielalašvuohta	
guhkesgierdevašvuohta	guhkesgierdevašvuohta	
gudnju	gudnju	
gudnihipmu	gudnihipmu	
grávva	grávva	
grenadera	grenadera	
gravitašuvdna	gravitasjon	
grammofovdna	grammofon	
gođđinmašiidna	gođđinmašiidna	
goŋge	goŋge	
govvidandáidu	govvidandáidu	
govvavuoigatvuohta	govvavuoigatvuohta	
govvaoassi	bildefelt	
govvalágaš	govvalágaš	
govdulisvuohta	govdulisvuohta	
govdodatgráđđa	govdodatgráđđa	
govdodatgráhta	govdodatgráhta	
govdatvuohta	govdatvuohta	
govdatoaidnilvuohta	govdatoaidnilvuohta	
gorremaš	ulykkesfugl	
gordnečalbmi	gordnečalbmi	
gonagasšloahtta	gonagasšloahtta	
gonagasreabbábivdoearri	gonagasreabbábivdoearri	
golmmariika	golmmariika	
golmmajuohku	golmmajuohku	
gollerieban	gollerieban	
golleboagán	golleboagán	
golgoslágan	golgoslágan	
goldda	drivgarnlenke	
goksa	goksa	
goikemielki	goikemielki	
goikedálki	goikedálki	
gohttehatskuvla	leirskole	
gohkkengelbbolašvuohta	gohkkengelbbolašvuohta	
gohccot	gohccot	
goddeáldu	simle_av_villrein	
goddeguovlu	villreinområde	
goddalus	goddalus	
gobádat	gobádat	
goavvelihkku	goavvelihkku	
goatnjil	goatnjil	
goastebuoidi	goastebuoidi	
goarvi	berg	
goartahaddi	goartahaddi	
goarrunsearvi	goarrunsearvi	
goarradisvuohta	goarradisvuohta	
goarka	kork	
goargatvuohta	goargatvuohta	
goarga	lundefugl	
goalusvuohta	goalusvuohta	
goahtenjálbmi	goahtenjálbmi	
goahcanluodda	bremsespor	
goahcanbircu	bremsekloss	
glássalihtti	glássalihtti	
glássagárbma	glássagárbma	
glássabarta	glássabarta	
globálalašvuohta	globálalašvuohta	
glasiologa	glasiologa	
giđđu	giđđu	
giđđačoahkkin	giđđačoahkkin	
giđđaguohtoneana	giđđaguohtoneana	
giđđaeahket	vårkveld	
giđđaboallu	giđđaboallu	
giđaáigi	giđaáigi	
givvir	givvir	
givja	hank	
girkotoardna	girkotoardna	
girkoroahttu	girkoroahttu	
girkoossodat	girkoossodat	
girkohearrádoaimmahat	girkohearrádoaimmahat	
girkodoartnalágan	girkodoartnalágan	
girju	girju	
girjeváilevašvuohta	girjeváilevašvuohta	
girjemearka	bokmerke	
girjegoasttádus	girjegoasttádus	
girjedoallogeatnegasvuohta	girjedoallogeatnegasvuohta	
girdolasta	girdolasta	
girdinsearvi	girdinsearvi	
girdingoarta	girdingoarta	
girdilihkuhisvuohta	girdilihkuhisvuohta	
gipsajuolgi	gipsfot	
gipmi	gipmi	
gintalbeaivi	gintalbeaivi	
gilvvavuovdi	gilvvavuovdi	
gilvvaguolli	gilvvaguolli	
gilvoáŋgirvuohta	gilvoáŋgirvuohta	
gilvosuhkan	gilvosuhkan	
gilvodilálašvuohta	gilvodilálašvuohta	
gilvobiila	racerbil	
gilljun	gilljun	
gililista	gililista	
giksa	giksa	
gihtet	gihtet	
gievvundilli	gievvundilli	
gievvun	ekstase	
gievvodilli	gievvodilli	
gievrrasvuohta	gievrrasvuohta	
gievkkanuksa	kjøkkendør	
gievkkanomman	komfyr	
gievkkanneavvu	kjøkkenutstyr	
gierdoskuvla	gierdoskuvla	
giellaáddejupmi	giellaáddejupmi	
giellavuohki	giellavuohki	
giellalávgunprošeakta	giellalávgunprošeakta	
giellakonsuleantavirgi	giellakonsuleantavirgi	
giellainstruksa	giellainstruksa	
giellageavahus	giellageavahus	
gielladikšundoaibma	gielladikšundoaibma	
gielddaovdagoddi	gielddaovdagoddi	
gielddameašttirvuohta	gielddameašttirvuohta	
gielddakantuvra	gielddakantuvra	
gielddadearvvašvuođabálvalusláhka	kommunehelsetjenesteloven	
gieldadilálašvuohta	gieldadilálašvuohta	
gieibmi	gieibmi	
giehtačála	håndskrift	
giehtaáidi	giehtaáidi	
giehtarátnu	giehtarátnu	
giehtaruhta	handlepenger	
giehtariekkis	giehtariekkis	
giehtalahkki	giehtalahkki	
giehtaheargi	giehtaheargi	
giehtageahči	giehtageahči	
gieganjuovčča	gieganjuovčča	
gieganjuolla	gieganjuolla	
giddehus	heftelse	
gerunda	gerundium	
geret	geret	
gentleman	gentleman	
generalmajora	generalmajora	
gelbbolašvuođabajideapmi	gelbbolašvuođabajideapmi	
gelatiidna	gelatin	
geađgeláhki	bergart	
geađgegáhtta	steinbelagt_gate	
geađgeguoddin	geađgeguoddin	
geavatlašvuohta	geavatlašvuohta	
geavahanvuoigatvuođalaš	bruksrettshaver	
geavahanvierru	brukssedvane	
geavahannummár	bruksnummer	
geavahangálvu	geavahangálvu	
geasusvuoigatvuohta	geasusvuoigatvuohta	
geassesuolu	geassesuolu	
geasselottáš	liten_trekkfugl	
geasseloddi	trekkfugl	
geasseguolli	sommerfisk	
gearrát	gearrát	
gearretstohpu	gearretstohpu	
geallirásodat	geallirásodat	
gealduvuohta	gealduvuohta	
gealboovddideapmi	gealboovddideapmi	
geaigu	ark	
geaidi	geaidi	
geahččanvejolašvuohta	geahččanvejolašvuohta	
geahččangeatnegasvuohta	geahččangeatnegasvuohta	
geahpil	geahpil	
geahpedanplána	geahpedanplána	
gazzadákti	gazzadákti	
gavjačalbmi	gavjačalbmi	
gavjanjaman	gavjanjaman	
gassačoalli	tykktarm	
gaskkasmuorji	einerbær	
gaskidja	gaskidja	
gaskavahkučuoigan	gaskavahkučuoigan	
gaskasárggis	gaskasárggis	
gaskastággu	gaskastággu	
gaskarádji	gaskarádji	
gaskaolmmái	gaskaolmmái	
gaskamuorra	midtspant	
gaskamearálašvuohta	gaskamearálašvuohta	
gaskafiervá	midterfjære	
gaskaalmmái	gaskaalmmái	
garpi	ubehersket	
ganjaloarri	ganjaloarri	
ganeš	ganeš	
galmmihanmekanihkkár	kuldemontør	
galmmihanlanjalágan	galmmihanlanjalágan	
galledančujuhus	galledančujuhus	
galján	brotsj	
galgamuš	galgamuš	
galbmagráđđa	galbmagráđđa	
galbmagráhta	galbmagráhta	
galbaráksá	galbaráksá	
gahtti	ringsel	
gahpermuorji	gahpermuorji	
gahperbáddi	gahperbáddi	
gadja	larm	
fáŋgafákta	fáŋgafákta	
fástoláskáš	fástoláskáš	
fástideaddji	fástideaddji	
fástadoavtterortnet	fástadoavtterortnet	
fássol	fássol	
fárrenrávdnji	fárrenrávdnji	
fárremuš	fárremuš	
fápmosuorgi	kraftsektor	
fápmosirdin	kraftoverføring	
fápmosajádat	maktposisjon	
fápmooktavuohta	fápmooktavuohta	
fápmodilálašvuohta	fápmodilálašvuohta	
fállágat	fállágat	
fálaldatkonferánsa	fálaldatkonferánsa	
fáktádiehtu	fáktádiehtu	
fáhkkačieŋal	fáhkkačieŋal	
fágalašmáhtolašvuohta	fágalašmáhtolašvuohta	
fágaeiseváldi	fágaeiseváldi	
fysioterapiijaossodat	fysioterapiijaossodat	
fysioterapiijabálvalus	fysioterapiijabálvalus	
fylkkaviidosaš	fylkkaviidosaš	
fylkkamánneámmát	fylkkamánneámmát	
fylkkadearvvašvuohta	fylkkadearvvašvuohta	
fuođđuhálddašeapmi	fuođđuhálddašeapmi	
fuođđarrájan	forhøster	
fuomášmeahttunvuohta	fuomášmeahttunvuohta	
fuolalašvuohta	fuolalašvuohta	
fuolahusdáhtolašvuohta	fuolahusdáhtolašvuohta	
fuolahas	fuolahas	
fuoikumuš	fuoikumuš	
funkšuvnnalašvuohta	funkšuvnnalašvuohta	
friijamearka	friijamearka	
friijafoanda	friijafoanda	
friddjavuođasoahti	friddjavuođasoahti	
friddjasuohkanortnet	frikommuneordning	
frekventatiiva	frekventativ	
flygel	flygel	
fitnooahpahus	yrkesopplæring	
fitnodatčoahkkin	bedriftsforsamling	
fitnodatdoavttir	bedriftslege	
fiskesrássešaddu	fiskesrássešaddu	
fiskeslávki	gulløk	
fiskescihci	fiskescihci	
firon	visp	
filbmavisti	filbmavisti	
filbmaapparáhtta	filbmaapparáhtta	
fiinnasohkar	fiinnasohkar	
fiiber	fiiber	
fierbmeleaŋka	garnlenke	
fiehtarbáddi	fiehtarbáddi	
fidnomáhttu	yrkeserfaring	
festiválagirjerájus	festiválagirjerájus	
festiválagirjerádju	festiválagirjerádju	
fađđu	fađđu	
favorihttamusihkka	favorittmusikk	
fasttat	fasttat	
faskkon	skrape	
fanaslágan	fanaslágan	
faláštallangállá	faláštallangállá	
faláštallandoaibma	faláštallandoaibma	
faláštallanbiire	faláštallanbiire	
falástallanáŋgirvuohta	falástallanáŋgirvuohta	
falástallanossodat	falástallanossodat	
falástallandiggi	falástallandiggi	
fallivuohta	fallivuohta	
fakulteahtta	fakulteahtta	
eŋgellávlun	eŋgellávlun	
eŋgellágan	eŋgellágan	
eŋgelasgirji	engelskbok	
evttohuslágan	evttohuslágan	
evttohasvuohta	evttohasvuohta	
evro	evro	
evolušuvdna	evolusjon	
eurohpámeasttirgilvu	eurohpámeasttirgilvu	
eurohpálávdegoddi	eurohpálávdegoddi	
etnologiija	etnologi	
esseija	essay	
errenáigi	karantenetid	
ergoterapiija	ergoterapi	
ergonomiija	ergonomi	
ergodivššohat	ergoterapiavdeling	
eretválddiheapmi	eretválddiheapmi	
eretvuojeheapmi	utdrivning	
eppel	eppel	
epikriisa	epikriisa	
entusiásma	entusiásma	
ensyklopediija	ensyklopedi	
energiijaovddideapmi	energiijaovddideapmi	
emigrántavuohta	emigrántavuohta	
emigránta	emigránta	
embehtaorgána	embehtaorgána	
elsihkarvuohta	elsihkarvuohta	
elrávdnjeboasttuvuohta	elrávdnjeboasttuvuohta	
elektroda	elektrode	
eksámendilálašvuohta	eksámendilálašvuohta	
eksosagássa	eksosagássa	
eksosabohcci	eksosabohcci	
ekonomiijaortnet	økonomisystem	
ekonomiijainstruksa	ekonomiijainstruksa	
einnostat	einnostat	
egoisttalašvuohta	egoisttalašvuohta	
egoisma	egoisme	
ednoš	ednoš	
ednenjođas	jordledning	
eaŋkilbileahtta	enkelbillett	
eavdnji	eavdnji	
eatnatgeardásašvuohta	eatnatgeardásašvuohta	
eatnanávkkástallan	eatnanávkkástallan	
eatnanvuoigatvuohta	eatnanvuoigatvuohta	
eatnanopmodat	eatnanopmodat	
eatnanguovlu	eatnanguovlu	
eatnandoarggástus	eatnandoarggástus	
eatnandieđa	eatnandieđa	
eatnanbealuštus	eatnanbealuštus	
eastin	eastin	
eastadus	eastadus	
earrevuoigatvuohta	earrevuoigatvuohta	
earalágánvuohta	earalágánvuohta	
eanetlohkomearrádus	flertallsvedtak	
eanašládja	jordsort	
eanavearuhus	jordbeskatning	
eanasmuddu	eanasmuddu	
eananvuovdinkommišuvdna	eananvuovdinkommišuvdna	
eananvuovdineiseváldi	eananvuovdineiseváldi	
eananláhka	jordlov	
eananeaiggátvuoigatvuohta	eananeaiggátvuoigatvuohta	
eanandoallosadjásaš	eanandoallosadjásaš	
eanandoallominister	eanandoallominister	
eanandoalloberoštupmi	eanandoalloberoštupmi	
eanaláigoheapmi	eanaláigoheapmi	
eanadoallostivra	eanadoallostivra	
eanadoallosearvi	eanadoallosearvi	
eanadatsuodjalanguovlu	landskapsvernområde	
eanabáhtarus	eanabáhtarus	
eanaareála	eanaareála	
eamiálbmotoktavuohta	eamiálbmotoktavuohta	
eamiálbmotgeatnegasvuohta	eamiálbmotgeatnegasvuohta	
ealánservvodat	ealánservvodat	
ealáhusovddidandoarjja	ealáhusovddidandoarjja	
ealáhusovddidanbargu	ealáhusovddidanbargu	
eallostuhkka	del_av_en_større_reinflokk	
eallokoahkka	eallokoahkka	
ealloboazodoallu	ealloboazodoallu	
eallju	motivasjon	
eallivuohta	eallivuohta	
eallinvásihus	eallinvásihus	
eallinbirasdutkamuš	eallinbirasdutkamuš	
ealjohisvuohta	passivitet	
eaiggátmearka	bumerke	
eaiggáduššandilli	eaiggáduššandilli	
eaiggádanvuoigatvuohta	eaiggádanvuoigatvuohta	
eahpečielgavuohta	eahpečielgavuohta	
eahpeáššálašvuohta	eahpeáššálašvuohta	
eahpestáhta	eahpestáhta	
eahpesiviliserejuvvon	eahpesiviliserejuvvon	
eahpesealvi	eahpesealvi	
eahperievttálašvuohta	eahperievttálašvuohta	
eahperievttalašvuohta	eahperievttalašvuohta	
eahperegulerejuvvon	eahperegulerejuvvon	
eahpemánnálaš	eahpemánnálaš	
eahpematrikulerejuvvon	eahpematrikulerejuvvon	
eahpeluohttámušcealkámuš	eahpeluohttámušcealkámuš	
eahpejáhkihahtti	eahpejáhkihahtti	
eahpeipmilosku	eahpeipmilosku	
eahpeipmilbálvaleapmi	eahpeipmilbálvaleapmi	
eahpehovdejeaddji	eahpehovdejeaddji	
eahpegustojeaddji	eahpegustojeaddji	
eahpefriddjavuohta	eahpefriddjavuohta	
eahpedássálasvuohta	eahpedássálasvuohta	
eahpeduohtaduvvon	eahpeduohtaduvvon	
eahpeduhtavašvuohta	eahpeduhtavašvuohta	
eahpedemokráhtta	eahpedemokráhtta	
eahpeboađus	eahpeboađus	
eahketseavdnjadas	eahketseavdnjadas	
eahketnávet	eahketnávet	
eahketidja	eahketidja	
eahketgursa	eahketgursa	
eahketgirdi	eahketgirdi	
eahketboddu	eahketboddu	
eahketbiebmu	kveldsmat	
eahkesrohkos	eahkesrohkos	
eahkesnávet	eahkesnávet	
eahkesmállásat	eahkesmállásat	
eahkesmális	eahkesmális	
eahkesborramuš	eahkesborramuš	
eahkedisrohkos	eahkedisrohkos	
eahkedisipmilbálvalus	eahkedisipmilbálvalus	
eahkedisbeaivi	eahkedisbeaivi	
eadnefitnodat	eadnefitnodat	
eaddemiella	eaddemiella	
dáččaskuvla	dáččaskuvla	
dáččalágan	dáččalágan	
dáččabealli	dáččabealli	
dážaservvodat	dážaservvodat	
dážalágan	dážalágan	
dážabárdni	dážabárdni	
dážabivttas	dážabivttas	
dážabivdi	dážabivdi	
dávvergiisá	dávvergiisá	
dávttehisvuohta	dávttehisvuohta	
dávru	dávru	
dávgebáhčči	dávgebáhčči	
dávgebáddi	dávgebáddi	
dásádat	balanse	
dássálasvuohta	dássálasvuohta	
dásseárvováttisvuohta	dásseárvováttisvuohta	
dássedisvuohta	egalitet	
dáruiduhttinskuvla	dáruiduhttinskuvla	
dáruiduhttinnjuolggadus	dáruiduhttinnjuolggadus	
dárogielprográmma	dárogielprográmma	
dárogielplána	dárogielplána	
dárkilmeahttunvuohta	dárkilmeahttunvuohta	
dárboárvvoštallan	behovsprøving	
dánsunárbevierru	dánsunárbevierru	
dánsunossodat	dánsunossodat	
dánsungursa	dánsungursa	
dánsenárbevierru	dánsenárbevierru	
dánsenskuovva	dánsenskuovva	
dánsenossodat	danseseksjon	
dánsenkursa	dánsenkursa	
dánseneahket	dánseneahket	
dánsashowa	dánsashowa	
dánsajuolgi	dánsajuolgi	
dálááiggeoktavuohta	dálááiggeoktavuohta	
dálááiggedánsa	dálááiggedánsa	
dálvemáđii	dálvemáđii	
dálvemáđidja	vintervei	
dálvemátki	dálvemátki	
dálveguolli	dálveguolli	
dálvefaláštalli	dálvefaláštalli	
dálvefaláštallan	dálvefaláštallan	
dálvefalástallan	dálvefalástallan	
dálveeahket	vinterkveld	
dálvediggi	dálvediggi	
dálveboddu	dálveboddu	
dáluolmmái	dáluolmmái	
dálubargu	dálubargu	
dálualmmái	dálualmmái	
dálloolmmoš	dálloolmmoš	
dállonummir	dállonummir	
dálkkádatnuppástuvvan	dálkkádatnuppástuvvan	
dálkkodanoktavuohta	dálkkodanoktavuohta	
dálkeeinnostus	dálkeeinnostus	
dáksa	dáksa	
dáidemeahttunvuohta	dáidemeahttunvuohta	
dáhttumuš	forlangende	
dáhtačoavddus	dáhtačoavddus	
dáhpáhuskaleanddar	dáhpáhuskaleanddar	
dynámalašvuohta	dynámalašvuohta	
duššadeaddji	duššadeaddji	
duđahahtti	duđahahtti	
dutnar	tønne	
dutkanulbmil	dutkanulbmil	
dutkanplána	dutkanplána	
dutkanguoibmi	dutkanguoibmi	
dutkangovva	dutkangovva	
dutkandieđáhus	dutkandieđáhus	
durdnosleagilaš	durdnosleagilaš	
durdečáhci	avløpsvann	
dura	dura	
duppaloaivilvuohta	duppaloaivilvuohta	
duođaštusárvvoštallan	bevisbedømmelse	
duođaštangeatnegasvuohta	duođaštangeatnegasvuohta	
duođavuohki	duođavuohki	
duottarhorbmá	duottarhorbmá	
duopmárstuollu	duopmárstuollu	
duopmocealkin	duopmocealkin	
duolmman	pedal	
duollováttisvuohta	duollováttisvuohta	
duollogeahčču	tolloppsyn	
duolljeoasti	duolljeoasti	
duolbbus	flate	
duohtaváimmus	duohtaváimmus	
duoguštus	duoguštus	
dulvadanálddis	dulvadanálddis	
dulvadanrádjá	dulvadanrádjá	
dulkomuš	dulkomuš	
dulkaautorisašuvdna	tolkeautorisasjon	
dulját	dulját	
duiskkaeana	duiskkaeana	
duhkorasvovdna	duhkorasvovdna	
duealla	duealla	
dubmengoddi	jury	
dualisma	dualisme	
drámáoahppu	drámáoahppu	
drámáoahpahus	drámáoahpahus	
drámágirji	drámágirji	
droššabiila	droššabiila	
dovdonummir	identifikasjonsnummer	
dovdduhisvuohta	dovdduhisvuohta	
dovddolašvuohta	dovddolašvuohta	
dorvogeaidnu	dorvogeaidnu	
dorskemearri	dorskemearri	
dorjjohat	dorjjohat	
dološvuohta	dološvuohta	
dolomihtta	dolomihtta	
dololašvuohta	dololašvuohta	
dollavárra	ildsfare	
dollavovdna	dollavovdna	
dollaráddi	dollaráddi	
dollanjuovčča	dollanjuovčča	
dolgevuoggameašttir	dolgevuoggameašttir	
dolanjuovčča	dolanjuovčča	
dokumentašunguovddáš	dokumentašunguovddáš	
dokumeantavuorká	dokumeantavuorká	
doidin	doidin	
dohppaniibi	slirekniv	
dohkkehaniskkus	dohkkehaniskkus	
dobádat	klabbeføre	
dobadat	dobadat	
doaŋgegeasáhat	doaŋgegeasáhat	
doavttirvákta	doavttirvákta	
doavttirgrádastudeanta	doavttirgrádastudeanta	
doavtterspesialista	doavtterspesialista	
doavtterráđđa	doavtterráđđa	
doavdnjekonfaluhtta	doavdnjekonfaluhtta	
doarrádalli	doarrádalli	
doarrunvuoibmi	lyst_til_å_kjempe	
doarrogievra	doarrogievra	
doarjjasturrodat	doarjjasturrodat	
doarjjaorgána	doarjjaorgána	
doarjjalohpádus	doarjjalohpádus	
doaresluodda	sideveg	
doaresfágalašvuohta	doaresfágalašvuohta	
doappal	flytholt	
doalvumuš	doalvumuš	
doalloisit	vert	
doalliristeadni	doalliristeadni	
doaladahkesvuohta	doaladahkesvuohta	
doaktárkántuvra	legekontor	
doaktárduođaštus	legeattest	
doaján	doaján	
doajáhatáigi	doajáhatáigi	
doaivumuš	doaivumuš	
doaibmilvuohta	doaibmilvuohta	
doaibmaviidodat	aksjonsradius	
doaibmaolmmái	doaibmaolmmái	
doaibmamáksu	godtgjørelse	
doaibmamuš	doaibmamuš	
doaibmamuitalus	doaibmamuitalus	
doaibmadoalli	doaibmadoalli	
doaibmadilli	doaibmadilli	
doahtta	doahtta	
diŋgonduodji	diŋgonduodji	
divššohasjournála	divššohasjournála	
divššodanvuohki	behandlingsmåte	
divvunbálvalus	vedlikeholdtjeneste	
divišunčiekči	divišunčiekči	
divideanda	dividend	
diversitehta	diversitet	
divaštallanprográmma	divaštallanprográmma	
divapolitihkka	divapolitihkka	
disttat	disttat	
dissertašuvdna	dissertasjon	
disposišuvdnafoanda	disposišuvdnafoanda	
dispeansa	dispeansa	
diskoritma	diskoritma	
diplomáhtalašvuohta	diplomáhtalašvuohta	
diktahámat	diktahámat	
dikkár	dikkár	
diibmohaddi	timepris	
dihtoroahppa	dihtoroahppa	
dihtormáhtolašvuohta	dihtormáhtolašvuohta	
dihtorgursa	dihtorgursa	
diggegoddevisti	diggegoddevisti	
diggegoddeviessu	diggegoddeviessu	
diggebeavdi	diggebeavdi	
digaštallanáigi	digaštallanáigi	
dieđihanfriddjavuohta	dieđihanfriddjavuohta	
dieđadepartemeanta	dieđadepartemeanta	
dievdoolmmái	dievdoolmmái	
dievddubealle	dievddubealle	
dievasvuohta	dievasvuohta	
dierbmá	dierbmá	
diehttevašvuohta	diehttevašvuohta	
diehtooaidnu	diehtooaidnu	
diehtojuohkinváilevašvuohta	diehtojuohkinváilevašvuohta	
diehtojuohkinpolitihkka	informasjonspolitikk	
diehtojuohkinluđolašvuohta	diehtojuohkinluđolašvuohta	
diehtojuohkinbáiki	diehtojuohkinbáiki	
diehtojohtin	diehtojohtin	
diehtohuksen	diehtohuksen	
diehtogirjjálašvuohta	diehtogirjjálašvuohta	
diehtobuvttadeapmi	diehtobuvttadeapmi	
diehtemeahttungomuvuohta	diehtemeahttungomuvuohta	
diehppebággi	diehppebággi	
detáljaplána	detáljaplána	
desi	desi	
depohta	depohta	
departemeanttaidgaskasaš	departemeanttaidgaskasaš	
departemeantaráđđi	departementsråd	
deattuhannjuolggadus	deattuhannjuolggadus	
deasttalašvuohta	deasttalašvuohta	
dearvvašvuođaiskkadeapmi	dearvvašvuođaiskkadeapmi	
